Politician,Date from,Date to,Location,Details,No. of nights,Rate,Spouse,Amount,url
COMBET Greg,27-Jan-12,28-Jan-12,Melbourne,Minister - Official Business,2,424,,848,26http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/COMBET_Greg.pdf5COMBET Greg
CORMANN Mathias,27-Jan-12,27-Jan-12,Melbourne,Shadow Minister - Official Business,1,118,,118,34http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/CORMANN_Mathias.pdf5CORMANN Mathias
JOYCE Barnaby,27-Jan-12,27-Jan-12,Toowoomba,Electorate Business,1,264,,264,47http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/JOYCE_Barnaby.pdf5JOYCE Barnaby
KATTER Bob,27-Jan-12,27-Jan-12,Mareeba,Electorate Business,1,240,,240,33http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/KATTER_Bob.pdf5KATTER Bob
MCCORMACK Michael,27-Jan-12,27-Jan-12,Tumbarumba,Electorate Business,1,240,,240,26http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/MCCORMACK_Michael.pdf5MCCORMACK Michael
SCULLION Nigel,27-Jan-12,27-Jan-12,Tumbarumba,Shadow Minister - Official Business,1,240,,240,33http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/SCULLION_Nigel.pdf5SCULLION Nigel
SLIPPER Peter,27-Jan-12,27-Jan-12,Canberra,Office Holder - Official Business,1,253,,253,40http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/SLIPPER_Peter.pdf5SLIPPER Peter
XENOPHON Nick,27-Jan-12,27-Jan-12,Melbourne,Electorate Business,1,354,,354,26http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/XENOPHON_Nick.pdf5XENOPHON Nick
ABETZ Eric,28-Jan-12,28-Jan-12,Melbourne,Office Holder - Official Business,1,424,10,434,35http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/ABETZ_Eric.pdf5ABETZ Eric
ARBIB Mark,28-Jan-12,28-Jan-12,Melbourne,Minister - Official Business,1,424,,424,26http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/ARBIB_Mark.pdf8ARBIB Mark
EVANS Chris,28-Jan-12,29-Jan-12,Melbourne,Minister - Official Business,2,424,,848,19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/EVANS_Chris.pdf5EVANS Chris
KING Catherine,28-Jan-12,28-Jan-12,Melbourne,Parliamentary Secretary - Official  Business,1,424,10,434,21http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/KING_Catherine.pdf5KING Catherine
LAMING Andrew,28-Jan-12,28-Jan-12,Melbourne,Electorate Business,1,354,,354,54http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/LAMING_Andrew.pdf5LAMING Andrew
LUNDY Kate,28-Jan-12,28-Jan-12,Sydney,Parliamentary Secretary - Official  Business,1,424,,424,44http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/LUNDY_Kate.pdf5LUNDY Kate
MORRISON Scott,28-Jan-12,28-Jan-12,Brisbane,Shadow Minister - Official Business,1,371,,371,19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/MORRISON_Scott.pdf5MORRISON Scott
PLIBERSEK Tanya,28-Jan-12,28-Jan-12,Melbourne,Minister - Official Business,1,424,,424,19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/PLIBERSEK_Tanya.pdf5PLIBERSEK Tanya
SCULLION Nigel,28-Jan-12,28-Jan-12,Gundagai,Shadow Minister - Official Business,1,240,,240,40http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/SCULLION_Nigel.pdf5SCULLION Nigel
SMITH Stephen,28-Jan-12,29-Jan-12,Melbourne,Minister - Official Business,2,424,,848,19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/SMITH_Stephen.pdf5SMITH Stephen
SWAN Wayne,28-Jan-12,28-Jan-12,Melbourne,Minister - Official Business,1,424,,424,19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/SWAN_Wayne.pdf5SWAN Wayne
ABBOTT Tony,29-Jan-12,29-Jan-12,Melbourne,Office Holder - Official Business,1,424,,424,47http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/ABBOTT_Tony.pdf5ABBOTT Tony
ALBANESE Anthony,29-Jan-12,29-Jan-12,Melbourne,Minister - Official Business,1,424,,424,26http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/ALBANESE_Anthony.pdf5ALBANESE Anthony
BOSWELL Ronald,29-Jan-12,29-Jan-12,Canberra,Electorate Business,1,253,,253,26http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/BOSWELL_Ronald.pdf5BOSWELL Ronald
BURKE Tony,29-Jan-12,30-Jan-12,Canberra,Minister - Official Business,2,253,,506,33http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/BURKE_Tony.pdf5BURKE Tony
BUTLER Mark,29-Jan-12,30-Jan-12,Canberra,Minister - Official Business,2,253,,506,35http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/BUTLER_Mark.pdf5BUTLER Mark
CHRISTENSEN George,29-Jan-12,29-Jan-12,Port Douglas,Social Policy and Legal Affairs,1,240,,240,19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/CHRISTENSEN_George.pdf5CHRISTENSEN George
COMBET Greg,29-Jan-12,31-Jan-12,Canberra,Minister - Official Business,3,253,,759,33http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/COMBET_Greg.pdf5COMBET Greg
CORMANN Mathias,29-Jan-12,30-Jan-12,Canberra,Shadow Minister - Official Business,2,253,,506,41http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/CORMANN_Mathias.pdf5CORMANN Mathias
FEENEY David,29-Jan-12,29-Jan-12,Canberra,Parliamentary Secretary - Official  Business,1,253,,253,20http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/FEENEY_David.pdf5FEENEY David
FERGUSON Martin,29-Jan-12,30-Jan-12,Canberra,Minister - Official Business,2,253,,506,40http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/FERGUSON_Martin.pdf5FERGUSON Martin
GARRETT Peter,29-Jan-12,31-Jan-12,Canberra,Minister - Official Business,3,253,,759,33http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/GARRETT_Peter.pdf5GARRETT Peter
GEORGANAS Steve,29-Jan-12,30-Jan-12,Darwin,Health and Ageing,2,367,,734,19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/GEORGANAS_Steve.pdf5GEORGANAS Steve
GRAY Gary,29-Jan-12,30-Jan-12,Canberra,Minister - Official Business,2,253,,506,26http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/GRAY_Gary.pdf5GRAY Gary
HALL Jill,29-Jan-12,30-Jan-12,Hobart,"Climate Change, Environment and  the Arts",2,305,,610,34http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/HALL_Jill.pdf5HALL Jill
MARINO Nola,29-Jan-12,30-Jan-12,Hobart,"Climate Change, Environment and  the Arts",2,305,,610,20http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/MARINO_Nola.pdf5MARINO Nola
MASON Brett,29-Jan-12,30-Jan-12,Perth,Shadow Minister - Official Business,2,364,,728,26http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/MASON_Brett.pdf5MASON Brett
NEUMANN Shayne,29-Jan-12,30-Jan-12,Cairns,Social Policy and Legal Affairs,2,265,,530,19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/NEUMANN_Shayne.pdf5NEUMANN Shayne
O'CONNOR Brendan,29-Jan-12,29-Jan-12,Canberra,Minister - Official Business,1,253,,253,33http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/O'CONNOR_Brendan.pdf5O'CONNOR Brendan
O'NEILL Deb,29-Jan-12,29-Jan-12,Darwin,Health and Ageing,1,367,,367,19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/O'NEILL_Deb.pdf5O'NEILL Deb
PERRETT Graham,29-Jan-12,29-Jan-12,Port Douglas,Social Policy and Legal Affairs,1,240,,240,19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/PERRETT_Graham.pdf5PERRETT Graham
SCULLION Nigel,29-Jan-12,29-Jan-12,Orange,Shadow Minister - Official Business,1,88,,88,47http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/SCULLION_Nigel.pdf5SCULLION Nigel
STONE Sharman,29-Jan-12,29-Jan-12,Melbourne,Social Policy and Legal Affairs,1,354,,354,19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/STONE_Sharman.pdf5STONE Sharman
SWAN Wayne,29-Jan-12,30-Jan-12,Canberra,Minister - Official Business,2,253,,506,26http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/SWAN_Wayne.pdf5SWAN Wayne
WASHER Mal,29-Jan-12,30-Jan-12,Hobart,"Climate Change, Environment and  the Arts",2,305,,610,20http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/WASHER_Mal.pdf5WASHER Mal
WRIGHT Penny,29-Jan-12,30-Jan-12,Melbourne,Electorate Business,2,354,,708,26http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/WRIGHT_Penny.pdf5WRIGHT Penny
WYATT Ken,29-Jan-12,29-Jan-12,Darwin,Health and Ageing,1,367,,367,19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/WYATT_Ken.pdf5WYATT Ken
ZAPPIA Tony,29-Jan-12,30-Jan-12,Hobart,"Climate Change, Environment and  the Arts",2,305,,610,20http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/ZAPPIA_Tony.pdf5ZAPPIA Tony
ABBOTT Tony,30-Jan-12,30-Jan-12,Canberra,Office Holder - Official Business,1,253,,253,54http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/ABBOTT_Tony.pdf5ABBOTT Tony
ALBANESE Anthony,30-Jan-12,30-Jan-12,Canberra,Minister - Official Business,1,253,,253,33http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/ALBANESE_Anthony.pdf5ALBANESE Anthony
BISHOP Bronwyn,30-Jan-12,30-Jan-12,Canberra,Shadow Minister - Official Business,1,253,,253,20http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/BISHOP_Bronwyn.pdf5BISHOP Bronwyn
BISHOP Julie,30-Jan-12,31-Jan-12,Sydney,Office Holder - Official Business,2,424,,848,33http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/BISHOP_Julie.pdf5BISHOP Julie
BOWEN Chris,30-Jan-12,30-Jan-12,Canberra,Minister - Official Business,1,253,,253,34http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/BOWEN_Chris.pdf5BOWEN Chris
BRANDIS George,30-Jan-12,30-Jan-12,Canberra,Office Holder - Official Business,1,253,,253,21http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/BRANDIS_George.pdf5BRANDIS George
CASH Michaelia,30-Jan-12,31-Jan-12,Canberra,Electorate Business,2,253,,506,26http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/CASH_Michaelia.pdf5CASH Michaelia
CHRISTENSEN George,30-Jan-12,30-Jan-12,Cairns,Social Policy and Legal Affairs,1,265,,265,26http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/CHRISTENSEN_George.pdf5CHRISTENSEN George
COLBECK Richard,30-Jan-12,30-Jan-12,Canberra,Shadow Minister - Official Business,1,253,,253,26http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/COLBECK_Richard.pdf5COLBECK Richard
COLLINS Jacinta,30-Jan-12,30-Jan-12,Canberra,Parliamentary Secretary - Official  Business,1,253,,253,28http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/COLLINS_Jacinta.pdf5COLLINS Jacinta
CONROY Stephen,30-Jan-12,30-Jan-12,Sydney,Minister - Official Business,1,424,,424,35http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/CONROY_Stephen.pdf5CONROY Stephen
CREAN Simon,30-Jan-12,30-Jan-12,Canberra,Minister - Official Business,1,253,,253,58http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/CREAN_Simon.pdf5CREAN Simon
DREYFUS Mark,30-Jan-12,30-Jan-12,Canberra,Parliamentary Secretary - Official  Business,1,253,,253,36http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/DREYFUS_Mark.pdf5DREYFUS Mark
ELLIS Kate,30-Jan-12,31-Jan-12,Melbourne,Minister - Official Business,2,424,,848,19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/ELLIS_Kate.pdf5ELLIS Kate
ENTSCH Warren,30-Jan-12,30-Jan-12,Cooktown,Electorate Business,1,240,,240,26http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/ENTSCH_Warren.pdf5ENTSCH Warren
FEENEY David,30-Jan-12,2-Feb-12,Sydney,Parliamentary Secretary - Official  Business,4,424,,"1,696.00",28http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/FEENEY_David.pdf5FEENEY David
FORREST John,30-Jan-12,30-Jan-12,Gisborne,Public Works,1,240,,240,19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/FORREST_John.pdf5FORREST John
GALLACHER Alex,30-Jan-12,30-Jan-12,Sale,Public Works,1,240,,240,19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/GALLACHER_Alex.pdf5GALLACHER Alex
KEENAN Michael,30-Jan-12,30-Jan-12,Sydney,Shadow Minister - Official Business,1,363,,363,19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/KEENAN_Michael.pdf5KEENAN Michael
KELLY Mike,30-Jan-12,30-Jan-12,Parl House,Parliamentary Secretary - Official  Business,1,79,,79,122http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/KELLY_Mike.pdf5KELLY Mike
MACKLIN Jenny,30-Jan-12,30-Jan-12,Canberra,Minister - Official Business,1,253,,253,26http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/MACKLIN_Jenny.pdf5MACKLIN Jenny
MCCLELLAND Robert,30-Jan-12,30-Jan-12,Melbourne,Minister - Official Business,1,424,,424,47http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/MCCLELLAND_Robert.pdf5MCCLELLAND Robert
PERRETT Graham,30-Jan-12,30-Jan-12,Cairns,Social Policy and Legal Affairs,1,265,,265,26http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/PERRETT_Graham.pdf5PERRETT Graham
PYNE Christopher,30-Jan-12,2-Feb-12,Canberra,Shadow Minister - Official Business,4,253,,"1,012.00",26http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/PYNE_Christopher.pdf5PYNE Christopher
ROXON Nicola,30-Jan-12,30-Jan-12,Canberra,Minister - Official Business,1,253,,253,19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/ROXON_Nicola.pdf5ROXON Nicola
RUDD Kevin,30-Jan-12,31-Jan-12,Sydney,Minister - Official Business,2,424,,848,19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/RUDD_Kevin.pdf5RUDD Kevin
SAFFIN Janelle,30-Jan-12,30-Jan-12,Melbourne,Public Works,1,354,,354,19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/SAFFIN_Janelle.pdf5SAFFIN Janelle
SCULLION Nigel,30-Jan-12,30-Jan-12,Canberra,Shadow Minister - Official Business,1,253,,253,54http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/SCULLION_Nigel.pdf5SCULLION Nigel
SLIPPER Peter,30-Jan-12,2-Feb-12,Canberra,Office Holder - Official Business,4,253,10,"1,022.00",48http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/SLIPPER_Peter.pdf5SLIPPER Peter
SMITH Stephen,30-Jan-12,30-Jan-12,Canberra,Minister - Official Business,1,253,,253,26http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/SMITH_Stephen.pdf5SMITH Stephen
SNOWDON Warren,30-Jan-12,30-Jan-12,Canberra,Minister - Official Business,1,253,,253,19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/SNOWDON_Warren.pdf5SNOWDON Warren
STONE Sharman,30-Jan-12,30-Jan-12,Cairns,Social Policy and Legal Affairs,1,265,,265,26http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/STONE_Sharman.pdf5STONE Sharman
WILLIAMS John,30-Jan-12,30-Jan-12,Sydney,Electorate Business,1,363,,363,26http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/WILLIAMS_John.pdf5WILLIAMS John
WONG Penny,30-Jan-12,30-Jan-12,Canberra,Minister - Official Business,1,253,,253,19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/WONG_Penny.pdf5WONG Penny
ANDREWS Kevin,31-Jan-12,2-Feb-12,Canberra,Shadow Minister - Official Business,3,253,,759,26http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/ANDREWS_Kevin.pdf5ANDREWS Kevin
BACK Chris,31-Jan-12,31-Jan-12,Canberra,Education Employment and  Workplace Relations,1,253,,253,27http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/BACK_Chris.pdf5BACK Chris
BIRMINGHAM Simon,31-Jan-12,31-Jan-12,Sydney,Shadow Minister - Official Business,1,363,,363,26http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/BIRMINGHAM_Simon.pdf5BIRMINGHAM Simon
BRIGGS Jamie,31-Jan-12,31-Jan-12,Sydney,Electorate Business,1,363,,363,19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/BRIGGS_Jamie.pdf5BRIGGS Jamie
BURKE Tony,31-Jan-12,31-Jan-12,Hobart,Minister - Official Business,1,354,,354,40http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/BURKE_Tony.pdf5BURKE Tony
CARR Kim,31-Jan-12,31-Jan-12,Sydney,Minister - Official Business,1,424,,424,27http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/CARR_Kim.pdf5CARR Kim
CHRISTENSEN George,31-Jan-12,31-Jan-12,Townsville,Social Policy and Legal Affairs,1,273,,273,33http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/CHRISTENSEN_George.pdf5CHRISTENSEN George
COLBECK Richard,31-Jan-12,31-Jan-12,Sydney,Shadow Minister - Official Business,1,363,,363,33http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/COLBECK_Richard.pdf5COLBECK Richard
CORMANN Mathias,31-Jan-12,31-Jan-12,Sydney,Shadow Minister - Official Business,1,363,,363,48http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/CORMANN_Mathias.pdf5CORMANN Mathias
CREAN Simon,31-Jan-12,31-Jan-12,Sydney,Minister - Official Business,1,424,10,434,66http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/CREAN_Simon.pdf5CREAN Simon
DUTTON Peter,31-Jan-12,31-Jan-12,Sydney,Shadow Minister - Official Business,1,363,,363,26http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/DUTTON_Peter.pdf5DUTTON Peter
ENTSCH Warren,31-Jan-12,31-Jan-12,Townsville,Social Policy and Legal Affairs,1,349,,349,33http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/ENTSCH_Warren.pdf5ENTSCH Warren
FERGUSON Martin,31-Jan-12,1-Feb-12,Perth,Minister - Official Business,2,434,,868,47http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/FERGUSON_Martin.pdf5FERGUSON Martin
FITZGIBBON Joel,31-Jan-12,5-Feb-12,Canberra,Chief Whip - Official Business,6,253,,"1,518.00",26http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/FITZGIBBON_Joel.pdf5FITZGIBBON Joel
FRYDENBERG Josh,31-Jan-12,31-Jan-12,Canberra,Parliamentary Political Party  Meeting,1,253,,253,20http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/FRYDENBERG_Josh.pdf5FRYDENBERG Josh
FURNER Mark,31-Jan-12,31-Jan-12,Sydney,"Foreign Affairs, Defence and Trade",1,363,,363,19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/FURNER_Mark.pdf5FURNER Mark
GALLACHER Alex,31-Jan-12,31-Jan-12,Canberra,Education Employment and  Workplace Relations,1,253,,253,27http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/GALLACHER_Alex.pdf5GALLACHER Alex
HARTSUYKER Luke,31-Jan-12,31-Jan-12,Canberra,Shadow Minister - Official Business,1,253,,253,26http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/HARTSUYKER_Luke.pdf5HARTSUYKER Luke
HUNT Greg,31-Jan-12,1-Feb-12,Canberra,Shadow Minister - Official Business,2,253,,506,19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/HUNT_Greg.pdf5HUNT Greg
JOYCE Barnaby,31-Jan-12,31-Jan-12,Brisbane,Shadow Minister - Official Business,1,371,,371,54http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/JOYCE_Barnaby.pdf5JOYCE Barnaby
KELLY Mike,31-Jan-12,31-Jan-12,Parl House,Parliamentary Secretary - Official  Business,1,79,,79,130http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/KELLY_Mike.pdf5KELLY Mike
LEY Sussan,31-Jan-12,31-Jan-12,Canberra,Shadow Minister - Official Business,1,253,,253,75http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/LEY_Sussan.pdf5LEY Sussan
MACDONALD Ian,31-Jan-12,31-Jan-12,Canberra,Shadow Minister - Official Business,1,253,,253,19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/MACDONALD_Ian.pdf5MACDONALD Ian
MASON Brett,31-Jan-12,31-Jan-12,Melbourne,Shadow Minister - Official Business,1,354,,354,33http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/MASON_Brett.pdf5MASON Brett
MIRABELLA Sophie,31-Jan-12,1-Feb-12,Canberra,Shadow Minister - Official Business,2,253,,506,19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/MIRABELLA_Sophie.pdf5MIRABELLA Sophie
MOORE Claire,31-Jan-12,31-Jan-12,Sydney,"Foreign Affairs, Defence and Trade",1,363,,363,27http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/MOORE_Claire.pdf5MOORE Claire
MORRISON Scott,31-Jan-12,31-Jan-12,Canberra,Shadow Minister - Official Business,1,253,,253,26http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/MORRISON_Scott.pdf5MORRISON Scott
NEUMANN Shayne,31-Jan-12,31-Jan-12,Townsville,Social Policy and Legal Affairs,1,273,,273,26http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/NEUMANN_Shayne.pdf5NEUMANN Shayne
O'CONNOR Brendan,31-Jan-12,31-Jan-12,Canberra,Minister - Official Business,1,253,,253,40http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/O'CONNOR_Brendan.pdf5O'CONNOR Brendan
O'DWYER Kelly,31-Jan-12,31-Jan-12,Sydney,Electorate Business,1,363,,363,19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/O'DWYER_Kelly.pdf5O'DWYER Kelly
PARRY Stephen,31-Jan-12,31-Jan-12,Sydney,"Foreign Affairs, Defence and Trade",1,424,,424,33http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/PARRY_Stephen.pdf5PARRY Stephen
PERRETT Graham,31-Jan-12,31-Jan-12,Townsville,Social Policy and Legal Affairs,1,91,,91,33http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/PERRETT_Graham.pdf5PERRETT Graham
RYAN Scott,31-Jan-12,31-Jan-12,Sydney,Shadow Minister - Official Business,1,363,,363,19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/RYAN_Scott.pdf5RYAN Scott
SCULLION Nigel,31-Jan-12,1-Feb-12,Canberra,Parliamentary Political Party  Meeting,2,253,,506,62http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/SCULLION_Nigel.pdf5SCULLION Nigel
STEPHENS Ursula,31-Jan-12,31-Jan-12,Sydney,"Foreign Affairs, Defence and Trade",1,363,,363,42http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/STEPHENS_Ursula.pdf5STEPHENS Ursula
STONE Sharman,31-Jan-12,31-Jan-12,Townsville,Social Policy and Legal Affairs,1,273,,273,33http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/STONE_Sharman.pdf5STONE Sharman
SWAN Wayne,31-Jan-12,31-Jan-12,Sydney,Minister - Official Business,1,424,,424,33http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/SWAN_Wayne.pdf5SWAN Wayne
TRUSS Warren,31-Jan-12,1-Feb-12,Canberra,Party Leader - Official Business,2,253,,506,19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/TRUSS_Warren.pdf5TRUSS Warren
ABBOTT Tony,1-Feb-12,1-Feb-12,Canberra,Office Holder - Official Business,1,253,,253,61http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/ABBOTT_Tony.pdf5ABBOTT Tony
ABETZ Eric,1-Feb-12,2-Feb-12,Canberra,Office Holder - Official Business,2,253,,506,42http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/ABETZ_Eric.pdf5ABETZ Eric
BILLSON Bruce,1-Feb-12,1-Feb-12,Canberra,Shadow Minister - Official Business,1,253,,253,19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/BILLSON_Bruce.pdf5BILLSON Bruce
BILYK Catryna,1-Feb-12,2-Feb-12,Melbourne,Education Employment and  Workplace Relations,2,354,,708,20http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/BILYK_Catryna.pdf5BILYK Catryna
BISHOP Julie,1-Feb-12,1-Feb-12,Canberra,Office Holder - Official Business,1,253,,253,40http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/BISHOP_Julie.pdf5BISHOP Julie
BRANDIS George,1-Feb-12,2-Feb-12,Canberra,Office Holder - Official Business,2,253,,506,28http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/BRANDIS_George.pdf5BRANDIS George
BURKE Tony,1-Feb-12,1-Feb-12,Deniliquin,Minister - Official Business,1,349,,349,47http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/BURKE_Tony.pdf5BURKE Tony
CAMERON Doug,1-Feb-12,2-Feb-12,Melbourne,Environment and Communications,2,354,,708,19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/CAMERON_Doug.pdf5CAMERON Doug
CASH Michaelia,1-Feb-12,1-Feb-12,Launceston,Shadow Minister - Official Business,1,265,,265,33http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/CASH_Michaelia.pdf5CASH Michaelia
CLARE Jason,1-Feb-12,1-Feb-12,Canberra,Minister - Official Business,1,253,,253,26http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/CLARE_Jason.pdf5CLARE Jason
COBB John,1-Feb-12,2-Feb-12,Canberra,Shadow Minister - Official Business,2,253,,506,19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/COBB_John.pdf5COBB John
COMBET Greg,1-Feb-12,1-Feb-12,Sydney,Minister - Official Business,1,424,,424,40http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/COMBET_Greg.pdf5COMBET Greg
DUTTON Peter,1-Feb-12,1-Feb-12,Canberra,Shadow Minister - Official Business,1,253,,253,33http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T30/DUTTON_Peter.pdf5DUTTON Peter
