Politician,Date from,Date to,Location,Details,No. of nights,Rate,Spouse,Amount,url
SCULLION Nigel,14-Nov-10,25-Nov-10,Canberra,Sittings of Parliament,12,233.00,,"2,796.00",18http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SCULLION_Nigel.pdf22SCULLION Nigel
WILKIE Andrew,14-Nov-10,18-Nov-10,Canberra,Sittings of Parliament,5,233.00,,"1,165.00",25http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/WILKIE_Andrew.pdf15WILKIE Andrew
SNOWDON Warren,19-Nov-10,19-Nov-10,Darwin,Parliamentary Political  Party Meeting,1,420.00,,420.00,19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SNOWDON_Warren.pdf22SNOWDON Warren
BISHOP Bronwyn,21-Nov-10,21-Nov-10,Canberra,Sittings of Parliament,1,233.00,,233.00,11http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BISHOP_Bronwyn.pdf18BISHOP Bronwyn
BUTLER Mark,21-Nov-10,25-Nov-10,Canberra,Sittings of Parliament,5,233.00,,"1,165.00",18http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BUTLER_Mark.pdf21BUTLER Mark
MORRISON Scott,21-Nov-10,21-Nov-10,Canberra,Sittings of Parliament,1,233.00,,233.00,18http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/MORRISON_Scott.pdf19MORRISON Scott
WILKIE Andrew,21-Nov-10,22-Nov-10,Canberra,Sittings of Parliament,2,233.00,,466.00,32http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/WILKIE_Andrew.pdf15WILKIE Andrew
HUMPHRIES Gary,22-Nov-10,26-Nov-10,Parl House,Sittings of Parliament ,5,77.00,,385.00,91http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/HUMPHRIES_Gary.pdf15HUMPHRIES Gary
KROGER Helen,22-Nov-10,25-Nov-10,Canberra,Sittings of Parliament,4,233.00,,932.00,11http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/KROGER_Helen.pdf15KROGER Helen
WILKIE Andrew,24-Nov-10,26-Nov-10,Canberra,Sittings of Parliament,3,233.00,,699.00,39http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/WILKIE_Andrew.pdf15WILKIE Andrew
