politician,url,datefrom,dateto,details,location,rate,nights,key,amount,spouse,note,lat,lon,electorate,state,party,partygroup,house,withinelectorate,
BERNARDI Cory,http://www.finance.gov.au/sites/default/files/P35_BERNARDI_Cory.pdf,23-Nov-14,27-Nov-14,Sittings of Parliament,Canberra,$271.00,5,146http://www.finance.gov.au/sites/default/files/P35_BERNARDI_Cory.pdf5P35 BERNARDI Cory,"$1,355.00",,,-35.2819998,149.1286843,,SA,Liberal,Coalition,senate,,
BRIGGS Jamie,http://www.finance.gov.au/sites/default/files/P35_BRIGGS_Jamie.pdf,23-Nov-14,27-Nov-14,Sittings of Parliament,Canberra,$271.00,5,261http://www.finance.gov.au/sites/default/files/P35_BRIGGS_Jamie.pdf5P35 BRIGGS Jamie,"$1,355.00",,,-35.2819998,149.1286843,Mayo,SA,Liberal,Coalition,lower,no,
EDWARDS Sean,http://www.finance.gov.au/sites/default/files/P35_EDWARDS_Sean.pdf,23-Nov-14,27-Nov-14,Sittings of Parliament,Canberra,$271.00,5,99http://www.finance.gov.au/sites/default/files/P35_EDWARDS_Sean.pdf5P35 EDWARDS Sean,"$1,355.00",,,-35.2819998,149.1286843,,SA,Liberal,Coalition,senate,,
ABETZ Eric,http://www.finance.gov.au/sites/default/files/P35_ABETZ_Eric.pdf,23-Nov-14,27-Nov-14,Sittings of Parliament,Canberra,$271.00,5,220http://www.finance.gov.au/sites/default/files/P35_ABETZ_Eric.pdf5P35 ABETZ Eric,"$1,355.00",,,-35.2819998,149.1286843,,TAS,Liberal,Coalition,senate,,
BILYK Catryna,http://www.finance.gov.au/sites/default/files/P35_BILYK_Catryna.pdf,23-Nov-14,27-Nov-14,Sittings of Parliament,Canberra,$271.00,5,167http://www.finance.gov.au/sites/default/files/P35_BILYK_Catryna.pdf5P35 BILYK Catryna,"$1,355.00",,,-35.2819998,149.1286843,,TAS,Labor,Labor,senate,,
BROWN Carol,http://www.finance.gov.au/sites/default/files/P35_BROWN_Carol.pdf,23-Nov-14,27-Nov-14,Sittings of Parliament,Canberra,$271.00,5,90http://www.finance.gov.au/sites/default/files/P35_BROWN_Carol.pdf5P35 BROWN Carol,"$1,355.00",,,-35.2819998,149.1286843,,TAS,Labor,Labor,senate,,
BUSHBY David,http://www.finance.gov.au/sites/default/files/P35_BUSHBY_David.pdf,23-Nov-14,27-Nov-14,Sittings of Parliament,Canberra,$271.00,5,139http://www.finance.gov.au/sites/default/files/P35_BUSHBY_David.pdf5P35 BUSHBY David,"$1,355.00",,,-35.2819998,149.1286843,,TAS,Liberal,Coalition,senate,,
COLBECK Richard,http://www.finance.gov.au/sites/default/files/P35_COLBECK_Richard.pdf,23-Nov-14,27-Nov-14,Sittings of Parliament,Canberra,$271.00,5,74http://www.finance.gov.au/sites/default/files/P35_COLBECK_Richard.pdf6P35 COLBECK Richard,"$1,355.00",,,-35.2819998,149.1286843,,TAS,Liberal,Coalition,senate,,
LAMBIE Jacqui,http://www.finance.gov.au/sites/default/files/P35_LAMBIE_Jacqui.pdf,23-Nov-14,27-Nov-14,Sittings of Parliament,Canberra,$271.00,5,167http://www.finance.gov.au/sites/default/files/P35_LAMBIE_Jacqui.pdf5P35 LAMBIE Jacqui,"$1,355.00",,,-35.2819998,149.1286843,,TAS,Independent,Independent,senate,,
MILNE Christine,http://www.finance.gov.au/sites/default/files/P35_MILNE_Christine.pdf,23-Nov-14,27-Nov-14,Sittings of Parliament,Canberra,$271.00,5,67http://www.finance.gov.au/sites/default/files/P35_MILNE_Christine.pdf6P35 MILNE Christine,"$1,355.00",,,-35.2819998,149.1286843,,TAS,Greens,Greens,senate,,
