politician,url,datefrom,dateto,details,location,rate,nights,key,amount,spouse,note,lat,lon,electorate,state,party,partygroup,house,withinelectorate,
ANDREWS Kevin,http://www.finance.gov.au/sites/default/files/P34_ANDREWS_Kevin.pdf,23-Mar-14,26-Mar-14,Sittings of Parliament,Canberra,$268.00,4,92http://www.finance.gov.au/sites/default/files/P34_ANDREWS_Kevin.pdf5P34 ANDREWS Kevin,"$1,072.00",,,-35.2819998,149.1286843,Menzies,VIC,Liberal,Coalition,lower,no,
BACK Chris,http://www.finance.gov.au/sites/default/files/P34_BACK_Chris.pdf,23-Mar-14,26-Mar-14,Sittings of Parliament,Canberra,$268.00,4,63http://www.finance.gov.au/sites/default/files/P34_BACK_Chris.pdf5P34 BACK Chris,"$1,072.00",,,-35.2819998,149.1286843,,WA,Liberal,Coalition,senate,,
BALDWIN Bob,http://www.finance.gov.au/sites/default/files/P34_BALDWIN_Bob.pdf,23-Mar-14,26-Mar-14,Sittings of Parliament,Canberra,$268.00,4,190http://www.finance.gov.au/sites/default/files/P34_BALDWIN_Bob.pdf5P34 BALDWIN Bob,"$1,072.00",,,-35.2819998,149.1286843,Paterson,NSW,Liberal,Coalition,lower,no,
BANDT Adam,http://www.finance.gov.au/sites/default/files/P34_BANDT_Adam.pdf,23-Mar-14,26-Mar-14,Sittings of Parliament,Canberra,$268.00,4,48http://www.finance.gov.au/sites/default/files/P34_BANDT_Adam.pdf5P34 BANDT Adam,"$1,072.00",,,-35.2819998,149.1286843,Melbourne,VIC,Greens,Greens,lower,no,
BERNARDI Cory,http://www.finance.gov.au/sites/default/files/P34_BERNARDI_Cory.pdf,23-Mar-14,27-Mar-14,Sittings of Parliament,Canberra,$268.00,5,83http://www.finance.gov.au/sites/default/files/P34_BERNARDI_Cory.pdf5P34 BERNARDI Cory,"$1,340.00",,,-35.2819998,149.1286843,,SA,Liberal,Coalition,senate,,
BIRD Sharon,http://www.finance.gov.au/sites/default/files/P34_BIRD_Sharon.pdf,23-Mar-14,26-Mar-14,Sittings of Parliament,Canberra,$268.00,4,55http://www.finance.gov.au/sites/default/files/P34_BIRD_Sharon.pdf5P34 BIRD Sharon,"$1,072.00",,,-35.2819998,149.1286843,Cunningham,NSW,Labor,Labor,lower,no,
BIRMINGHAM Simon,http://www.finance.gov.au/sites/default/files/P34_BIRMINGHAM_Simon.pdf,23-Mar-14,27-Mar-14,Sittings of Parliament,Canberra,$268.00,5,76http://www.finance.gov.au/sites/default/files/P34_BIRMINGHAM_Simon.pdf5P34 BIRMINGHAM Simon,"$1,340.00",,,-35.2819998,149.1286843,,SA,Liberal,Coalition,senate,,
BISHOP Bronwyn,http://www.finance.gov.au/sites/default/files/P34_BISHOP_Bronwyn.pdf,23-Mar-14,27-Mar-14,Sittings of Parliament,Canberra,$268.00,5,69http://www.finance.gov.au/sites/default/files/P34_BISHOP_Bronwyn.pdf5P34 BISHOP Bronwyn,"$1,340.00",,,-35.2819998,149.1286843,Mackellar,NSW,Liberal,Coalition,lower,no,
BISHOP Mark,http://www.finance.gov.au/sites/default/files/P34_BISHOP_Mark.pdf,23-Mar-14,27-Mar-14,Sittings of Parliament,Canberra,$268.00,5,71http://www.finance.gov.au/sites/default/files/P34_BISHOP_Mark.pdf5P34 BISHOP Mark,"$1,340.00",,,-35.2819998,149.1286843,,WA,Labor,Labor,senate,,
BOYCE Sue,http://www.finance.gov.au/sites/default/files/P34_BOYCE_Sue.pdf,23-Mar-14,27-Mar-14,Sittings of Parliament,Canberra,$268.00,5,55http://www.finance.gov.au/sites/default/files/P34_BOYCE_Sue.pdf5P34 BOYCE Sue,"$1,340.00",,,-35.2819998,149.1286843,,QLD,Liberal,Coalition,senate,,
BRANDIS George,http://www.finance.gov.au/sites/default/files/P34_BRANDIS_George.pdf,23-Mar-14,27-Mar-14,Sittings of Parliament,Canberra,$268.00,5,160http://www.finance.gov.au/sites/default/files/P34_BRANDIS_George.pdf5P34 BRANDIS George,"$1,340.00",,,-35.2819998,149.1286843,,QLD,Liberal,Coalition,senate,,
BRIGGS Jamie,http://www.finance.gov.au/sites/default/files/P34_BRIGGS_Jamie.pdf,23-Mar-14,27-Mar-14,Sittings of Parliament,Canberra,$268.00,5,140http://www.finance.gov.au/sites/default/files/P34_BRIGGS_Jamie.pdf5P34 BRIGGS Jamie,"$1,340.00",,,-35.2819998,149.1286843,Mayo,SA,Liberal,Coalition,lower,no,
BROADBENT Russell,http://www.finance.gov.au/sites/default/files/P34_BROADBENT_Russell.pdf,23-Mar-14,26-Mar-14,Sittings of Parliament,Canberra,$268.00,4,48http://www.finance.gov.au/sites/default/files/P34_BROADBENT_Russell.pdf5P34 BROADBENT Russell,"$1,072.00",,,-35.2819998,149.1286843,McMillan,VIC,Liberal,Coalition,lower,no,
BROUGH Mal,http://www.finance.gov.au/sites/default/files/P34_BROUGH_Mal.pdf,23-Mar-14,26-Mar-14,Sittings of Parliament,Canberra,$268.00,4,48http://www.finance.gov.au/sites/default/files/P34_BROUGH_Mal.pdf5P34 BROUGH Mal,"$1,072.00",,,-35.2819998,149.1286843,Fisher,QLD,Liberal,Coalition,lower,no,
BUCHHOLZ Scott,http://www.finance.gov.au/sites/default/files/P34_BUCHHOLZ_Scott.pdf,23-Mar-14,27-Mar-14,Sittings of Parliament,Canberra,$268.00,5,62http://www.finance.gov.au/sites/default/files/P34_BUCHHOLZ_Scott.pdf5P34 BUCHHOLZ Scott,"$1,340.00",,,-35.2819998,149.1286843,Wright,QLD,Liberal,Coalition,lower,no,
BURKE Tony,http://www.finance.gov.au/sites/default/files/P34_BURKE_Tony.pdf,23-Mar-14,26-Mar-14,Sittings of Parliament,Canberra,$268.00,4,62http://www.finance.gov.au/sites/default/files/P34_BURKE_Tony.pdf5P34 BURKE Tony,"$1,072.00",,,-35.2819998,149.1286843,Watson,NSW,Labor,Labor,lower,no,
BUSHBY David,http://www.finance.gov.au/sites/default/files/P34_BUSHBY_David.pdf,23-Mar-14,27-Mar-14,Sittings of Parliament,Canberra,$268.00,5,90http://www.finance.gov.au/sites/default/files/P34_BUSHBY_David.pdf5P34 BUSHBY David,"$1,340.00",,,-35.2819998,149.1286843,,TAS,Liberal,Coalition,senate,,
BUTLER Mark,http://www.finance.gov.au/sites/default/files/P34_BUTLER_Mark.pdf,23-Mar-14,26-Mar-14,Sittings of Parliament,Canberra,$268.00,4,104http://www.finance.gov.au/sites/default/files/P34_BUTLER_Mark.pdf5P34 BUTLER Mark,"$1,072.00",,,-35.2819998,149.1286843,Port Adelaide,SA,Labor,Labor,lower,no,
BUTLER Terri,http://www.finance.gov.au/sites/default/files/P34_BUTLER_Terri.pdf,23-Mar-14,26-Mar-14,Sittings of Parliament,Canberra,$268.00,4,41http://www.finance.gov.au/sites/default/files/P34_BUTLER_Terri.pdf5P34 BUTLER Terri,"$1,072.00",,,-35.2819998,149.1286843,Griffith,QLD,Labor,Labor,lower,no,
BYRNE Anthony,http://www.finance.gov.au/sites/default/files/P34_BYRNE_Anthony.pdf,23-Mar-14,26-Mar-14,Sittings of Parliament,Canberra,$268.00,4,48http://www.finance.gov.au/sites/default/files/P34_BYRNE_Anthony.pdf5P34 BYRNE Anthony,"$1,072.00",,,-35.2819998,149.1286843,Holt,VIC,Labor,Labor,lower,no,
CARR Kim,http://www.finance.gov.au/sites/default/files/P34_CARR_Kim.pdf,23-Mar-14,27-Mar-14,Sittings of Parliament,Canberra,$268.00,5,62http://www.finance.gov.au/sites/default/files/P34_CARR_Kim.pdf5P34 CARR Kim,"$1,340.00",,,-35.2819998,149.1286843,,VIC,Labor,Labor,senate,,
CHESTERS Lisa,http://www.finance.gov.au/sites/default/files/P34_CHESTERS_Lisa.pdf,23-Mar-14,26-Mar-14,Sittings of Parliament,Canberra,$268.00,4,48http://www.finance.gov.au/sites/default/files/P34_CHESTERS_Lisa.pdf5P34 CHESTERS Lisa,"$1,072.00",,,-35.2819998,149.1286843,Bendigo,VIC,Labor,Labor,lower,no,
CHRISTENSEN George,http://www.finance.gov.au/sites/default/files/P34_CHRISTENSEN_George.pdf,23-Mar-14,27-Mar-14,Sittings of Parliament,Canberra,$268.00,5,76http://www.finance.gov.au/sites/default/files/P34_CHRISTENSEN_George.pdf5P34 CHRISTENSEN George,"$1,340.00",,,-35.2819998,149.1286843,Dawson,QLD,National,Coalition,lower,no,
CIOBO Steven,http://www.finance.gov.au/sites/default/files/P34_CIOBO_Steven.pdf,23-Mar-14,26-Mar-14,Sittings of Parliament,Canberra,$268.00,4,70http://www.finance.gov.au/sites/default/files/P34_CIOBO_Steven.pdf5P34 CIOBO Steven,"$1,072.00",,,-35.2819998,149.1286843,Moncrieff,QLD,Liberal,Coalition,lower,no,
CLAYDON Sharon,http://www.finance.gov.au/sites/default/files/P34_CLAYDON_Sharon.pdf,23-Mar-14,27-Mar-14,Sittings of Parliament,Canberra,$268.00,5,62http://www.finance.gov.au/sites/default/files/P34_CLAYDON_Sharon.pdf5P34 CLAYDON Sharon,"$1,340.00",,,-35.2819998,149.1286843,Newcastle,NSW,Labor,Labor,lower,no,
COBB John,http://www.finance.gov.au/sites/default/files/P34_COBB_John.pdf,23-Mar-14,26-Mar-14,Sittings of Parliament,Canberra,$268.00,4,55http://www.finance.gov.au/sites/default/files/P34_COBB_John.pdf5P34 COBB John,"$1,072.00",,,-35.2819998,149.1286843,Calare,NSW,National,Coalition,lower,no,
COLBECK Richard,http://www.finance.gov.au/sites/default/files/P34_COLBECK_Richard.pdf,23-Mar-14,27-Mar-14,Sittings of Parliament,Canberra,$268.00,5,125http://www.finance.gov.au/sites/default/files/P34_COLBECK_Richard.pdf5P34 COLBECK Richard,"$1,340.00",,,-35.2819998,149.1286843,,TAS,Liberal,Coalition,senate,,
CONROY Pat,http://www.finance.gov.au/sites/default/files/P34_CONROY_Pat.pdf,23-Mar-14,26-Mar-14,Sittings of Parliament,Canberra,$268.00,4,55http://www.finance.gov.au/sites/default/files/P34_CONROY_Pat.pdf5P34 CONROY Pat,"$1,072.00",,,-35.2819998,149.1286843,Charlton,NSW,Labor,Labor,lower,no,
CONROY Stephen,http://www.finance.gov.au/sites/default/files/P34_CONROY_Stephen.pdf,23-Mar-14,26-Mar-14,Sittings of Parliament,Canberra,$268.00,4,119http://www.finance.gov.au/sites/default/files/P34_CONROY_Stephen.pdf5P34 CONROY Stephen,"$1,072.00",,,-35.2819998,149.1286843,,VIC,Labor,Labor,senate,,
CORMANN Mathias,http://www.finance.gov.au/sites/default/files/P34_CORMANN_Mathias0.pdf,23-Mar-14,27-Mar-14,Sittings of Parliament,Canberra,$268.00,5,104http://www.finance.gov.au/sites/default/files/P34_CORMANN_Mathias0.pdf5P34 CORMANN Mathias0,"$1,340.00",,,-35.2819998,149.1286843,,WA,Liberal,Coalition,senate,,
COULTON Mark,http://www.finance.gov.au/sites/default/files/P34_COULTON_Mark.pdf,23-Mar-14,27-Mar-14,Sittings of Parliament,Canberra,$268.00,5,125http://www.finance.gov.au/sites/default/files/P34_COULTON_Mark.pdf5P34 COULTON Mark,"$1,340.00",,,-35.2819998,149.1286843,Parkes,NSW,National,Coalition,lower,no,
DASTYARI Sam,http://www.finance.gov.au/sites/default/files/P34_DASTYARI_Sam.pdf,23-Mar-14,27-Mar-14,Sittings of Parliament,Canberra,$268.00,5,62http://www.finance.gov.au/sites/default/files/P34_DASTYARI_Sam.pdf5P34 DASTYARI Sam,"$1,340.00",,,-35.2819998,149.1286843,,NSW,Labor,Labor,senate,,
DI NATALE Richard,http://www.finance.gov.au/sites/default/files/P34_DI_NATALE_Richard.pdf,23-Mar-14,26-Mar-14,Sittings of Parliament,Canberra,$268.00,4,97http://www.finance.gov.au/sites/default/files/P34_DI_NATALE_Richard.pdf5P34 DI NATALE Richard,"$1,072.00",,,-35.2819998,149.1286843,,VIC,Greens,Greens,senate,,
DREYFUS Mark,http://www.finance.gov.au/sites/default/files/P34_DREYFUS_Mark.pdf,23-Mar-14,26-Mar-14,Sittings of Parliament,Canberra,$268.00,4,90http://www.finance.gov.au/sites/default/files/P34_DREYFUS_Mark.pdf5P34 DREYFUS Mark,"$1,072.00",,,-35.2819998,149.1286843,Isaacs,VIC,Labor,Labor,lower,no,
EDWARDS Sean,http://www.finance.gov.au/sites/default/files/P34_EDWARDS_Sean.pdf,23-Mar-14,27-Mar-14,Sittings of Parliament,Canberra,$268.00,5,83http://www.finance.gov.au/sites/default/files/P34_EDWARDS_Sean.pdf5P34 EDWARDS Sean,"$1,340.00",,,-35.2819998,149.1286843,,SA,Liberal,Coalition,senate,,
EGGLESTON Alan,http://www.finance.gov.au/sites/default/files/P34_EGGLESTON_Alan.pdf,23-Mar-14,27-Mar-14,Sittings of Parliament,Canberra,$268.00,5,62http://www.finance.gov.au/sites/default/files/P34_EGGLESTON_Alan.pdf5P34 EGGLESTON Alan,"$1,340.00",,,-35.2819998,149.1286843,,WA,Liberal,Coalition,senate,,
ELLIOT Justine,http://www.finance.gov.au/sites/default/files/P34_ELLIOT_Justine.pdf,23-Mar-14,27-Mar-14,Sittings of Parliament,Canberra,$268.00,5,48http://www.finance.gov.au/sites/default/files/P34_ELLIOT_Justine.pdf5P34 ELLIOT Justine,"$1,340.00",,,-35.2819998,149.1286843,Richmond,NSW,Labor,Labor,lower,no,
FARRELL Don,http://www.finance.gov.au/sites/default/files/P34_FARRELL_Don.pdf,23-Mar-14,27-Mar-14,Sittings of Parliament,Canberra,$268.00,5,97http://www.finance.gov.au/sites/default/files/P34_FARRELL_Don.pdf5P34 FARRELL Don,"$1,340.00",,,-35.2819998,149.1286843,,SA,Labor,Labor,senate,,
FAULKNER John,http://www.finance.gov.au/sites/default/files/P34_FAULKNER_John.pdf,23-Mar-14,27-Mar-14,Sittings of Parliament,Canberra,$268.00,5,76http://www.finance.gov.au/sites/default/files/P34_FAULKNER_John.pdf5P34 FAULKNER John,"$1,340.00",,,-35.2819998,149.1286843,,NSW,Labor,Labor,senate,,
FAWCETT David,http://www.finance.gov.au/sites/default/files/P34_FAWCETT_David.pdf,23-Mar-14,27-Mar-14,Sittings of Parliament,Canberra,$268.00,5,62http://www.finance.gov.au/sites/default/files/P34_FAWCETT_David.pdf5P34 FAWCETT David,"$1,340.00",,,-35.2819998,149.1286843,,SA,Liberal,Coalition,senate,,
FEENEY David,http://www.finance.gov.au/sites/default/files/P34_FEENEY_David1.pdf,23-Mar-14,26-Mar-14,Sittings of Parliament,Canberra,$268.00,4,76http://www.finance.gov.au/sites/default/files/P34_FEENEY_David1.pdf5P34 FEENEY David1,"$1,072.00",,,-35.2819998,149.1286843,Batman,VIC,Labor,Labor,lower,no,
FERGUSON Laurie,http://www.finance.gov.au/sites/default/files/P34_FERGUSON_Laurie.pdf,23-Mar-14,26-Mar-14,Sittings of Parliament,Canberra,$268.00,4,48http://www.finance.gov.au/sites/default/files/P34_FERGUSON_Laurie.pdf5P34 FERGUSON Laurie,"$1,072.00",,,-35.2819998,149.1286843,Werriwa,NSW,Labor,Labor,lower,no,
FIFIELD Mitch,http://www.finance.gov.au/sites/default/files/P34_FIFIELD_Mitch.pdf,23-Mar-14,27-Mar-14,Sittings of Parliament,Canberra,$268.00,5,118http://www.finance.gov.au/sites/default/files/P34_FIFIELD_Mitch.pdf5P34 FIFIELD Mitch,"$1,340.00",,,-35.2819998,149.1286843,,VIC,Liberal,Coalition,senate,,
FITZGIBBON Joel,http://www.finance.gov.au/sites/default/files/P34_FITZGIBBON_Joel.pdf,23-Mar-14,27-Mar-14,Sittings of Parliament,Canberra,$268.00,5,83http://www.finance.gov.au/sites/default/files/P34_FITZGIBBON_Joel.pdf5P34 FITZGIBBON Joel,"$1,340.00",,,-35.2819998,149.1286843,Hunter,NSW,Labor,Labor,lower,no,
FURNER Mark,http://www.finance.gov.au/sites/default/files/P34_FURNER_Mark.pdf,23-Mar-14,27-Mar-14,Sittings of Parliament,Canberra,$268.00,5,48http://www.finance.gov.au/sites/default/files/P34_FURNER_Mark.pdf5P34 FURNER Mark,"$1,340.00",,,-35.2819998,149.1286843,,QLD,Labor,Labor,senate,,
GALLACHER Alex,http://www.finance.gov.au/sites/default/files/P34_GALLACHER_Alex.pdf,23-Mar-14,27-Mar-14,Sittings of Parliament,Canberra,$268.00,5,69http://www.finance.gov.au/sites/default/files/P34_GALLACHER_Alex.pdf5P34 GALLACHER Alex,"$1,340.00",,,-35.2819998,149.1286843,,SA,Labor,Labor,senate,,
GAMBARO Teresa,http://www.finance.gov.au/sites/default/files/P34_GAMBARO_Teresa.pdf,23-Mar-14,27-Mar-14,Sittings of Parliament,Canberra,$268.00,5,56http://www.finance.gov.au/sites/default/files/P34_GAMBARO_Teresa.pdf5P34 GAMBARO Teresa,"$1,340.00",,,-35.2819998,149.1286843,Brisbane,QLD,Liberal,Coalition,lower,no,
GILES Andrew,http://www.finance.gov.au/sites/default/files/P34_GILES_Andrew.pdf,23-Mar-14,26-Mar-14,Sittings of Parliament,Canberra,$268.00,4,48http://www.finance.gov.au/sites/default/files/P34_GILES_Andrew.pdf5P34 GILES Andrew,"$1,072.00",,,-35.2819998,149.1286843,Scullin,VIC,Labor,Labor,lower,no,
GILLESPIE David,http://www.finance.gov.au/sites/default/files/P34_GILLESPIE_David.pdf,23-Mar-14,26-Mar-14,Sittings of Parliament,Canberra,$268.00,4,62http://www.finance.gov.au/sites/default/files/P34_GILLESPIE_David.pdf5P34 GILLESPIE David,"$1,072.00",,,-35.2819998,149.1286843,Lyne,NSW,National,Coalition,lower,no,
GRAY Gary,http://www.finance.gov.au/sites/default/files/P34_GRAY_Gary.pdf,23-Mar-14,24-Mar-14,Sittings of Parliament,Canberra,$268.00,2,62http://www.finance.gov.au/sites/default/files/P34_GRAY_Gary.pdf5P34 GRAY Gary,$536.00,,,-35.2819998,149.1286843,Brand,WA,Labor,Labor,lower,no,
GRIFFIN Alan,http://www.finance.gov.au/sites/default/files/P34_GRIFFIN_Alan.pdf,23-Mar-14,26-Mar-14,Sittings of Parliament,Canberra,$268.00,4,62http://www.finance.gov.au/sites/default/files/P34_GRIFFIN_Alan.pdf5P34 GRIFFIN Alan,"$1,072.00",,,-35.2819998,149.1286843,Bruce,VIC,Labor,Labor,lower,no,
GRIGGS Natasha,http://www.finance.gov.au/sites/default/files/P34_GRIGGS_Natasha.pdf,23-Mar-14,26-Mar-14,Sittings of Parliament,Canberra,$268.00,4,55http://www.finance.gov.au/sites/default/files/P34_GRIGGS_Natasha.pdf5P34 GRIGGS Natasha,"$1,072.00",,,-35.2819998,149.1286843,Solomon,NT,CLP,CLP,lower,no,
HALL Jill,http://www.finance.gov.au/sites/default/files/P34_HALL_Jill.pdf,23-Mar-14,27-Mar-14,Sittings of Parliament,Canberra,$268.00,5,48http://www.finance.gov.au/sites/default/files/P34_HALL_Jill.pdf5P34 HALL Jill,"$1,340.00",,,-35.2819998,149.1286843,Shortland,NSW,Labor,Labor,lower,no,
HARTSUYKER Luke,http://www.finance.gov.au/sites/default/files/P34_HARTSUYKER_Luke.pdf,23-Mar-14,27-Mar-14,Sittings of Parliament,Canberra,$268.00,5,126http://www.finance.gov.au/sites/default/files/P34_HARTSUYKER_Luke.pdf5P34 HARTSUYKER Luke,"$1,340.00",,,-35.2819998,149.1286843,Cowper,NSW,National,Coalition,lower,no,
HAWKE Alex,http://www.finance.gov.au/sites/default/files/P34_HAWKE_Alex.pdf,23-Mar-14,27-Mar-14,Sittings of Parliament,Canberra,$268.00,5,48http://www.finance.gov.au/sites/default/files/P34_HAWKE_Alex.pdf5P34 HAWKE Alex,"$1,340.00",,,-35.2819998,149.1286843,Mitchell,NSW,Liberal,Coalition,lower,no,
HAYES Chris,http://www.finance.gov.au/sites/default/files/P34_HAYES_Chris.pdf,23-Mar-14,23-Mar-14,Sittings of Parliament,Canberra,$268.00,1,55http://www.finance.gov.au/sites/default/files/P34_HAYES_Chris.pdf5P34 HAYES Chris,$268.00,,,-35.2819998,149.1286843,Fowler,NSW,Labor,Labor,lower,no,
HEFFERNAN Bill,http://www.finance.gov.au/sites/default/files/P34_HEFFERNAN_Bill.pdf,23-Mar-14,27-Mar-14,Sittings of Parliament,Canberra,$268.00,5,76http://www.finance.gov.au/sites/default/files/P34_HEFFERNAN_Bill.pdf5P34 HEFFERNAN Bill,"$1,340.00",,,-35.2819998,149.1286843,,NSW,Liberal,Coalition,senate,,
HOCKEY Joe,http://www.finance.gov.au/sites/default/files/P34_HOCKEY_Joe.pdf,23-Mar-14,27-Mar-14,Sittings of Parliament,Canberra,$268.00,5,76http://www.finance.gov.au/sites/default/files/P34_HOCKEY_Joe.pdf5P34 HOCKEY Joe,"$1,340.00",,,-35.2819998,149.1286843,North Sydney,NSW,Liberal,Coalition,lower,no,
HOGAN Kevin,http://www.finance.gov.au/sites/default/files/P34_HOGAN_Kevin.pdf,23-Mar-14,26-Mar-14,Sittings of Parliament,Canberra,$268.00,4,55http://www.finance.gov.au/sites/default/files/P34_HOGAN_Kevin.pdf5P34 HOGAN Kevin,"$1,072.00",,,-35.2819998,149.1286843,Page,NSW,National,Coalition,lower,no,
HOWARTH Luke,http://www.finance.gov.au/sites/default/files/P34_HOWARTH_Luke.pdf,23-Mar-14,27-Mar-14,Sittings of Parliament,Canberra,$268.00,5,55http://www.finance.gov.au/sites/default/files/P34_HOWARTH_Luke.pdf5P34 HOWARTH Luke,"$1,340.00",,,-35.2819998,149.1286843,Petrie,QLD,Liberal,Coalition,lower,no,
HUNT Greg,http://www.finance.gov.au/sites/default/files/P34_HUNT_Greg.pdf,23-Mar-14,23-Mar-14,Minister - Official Business,Melbourne,$432.00,1,111http://www.finance.gov.au/sites/default/files/P34_HUNT_Greg.pdf5P34 HUNT Greg,$432.00,,,-37.814107,144.96328,Flinders,VIC,Liberal,Coalition,lower,no,
HUTCHINSON Eric,http://www.finance.gov.au/sites/default/files/P34_HUTCHINSON_Eric.pdf,23-Mar-14,27-Mar-14,Sittings of Parliament,Canberra,$268.00,5,62http://www.finance.gov.au/sites/default/files/P34_HUTCHINSON_Eric.pdf5P34 HUTCHINSON Eric,"$1,340.00",,,-35.2819998,149.1286843,Lyons,TAS,Liberal,Coalition,lower,no,
IRONS Steve,http://www.finance.gov.au/sites/default/files/P34_IRONS_Steve.pdf,23-Mar-14,27-Mar-14,Sittings of Parliament,Canberra,$268.00,5,48http://www.finance.gov.au/sites/default/files/P34_IRONS_Steve.pdf5P34 IRONS Steve,"$1,340.00",,,-35.2819998,149.1286843,Swan,WA,Liberal,Coalition,lower,no,
JENSEN Dennis,http://www.finance.gov.au/sites/default/files/P34_JENSEN_Dennis.pdf,23-Mar-14,26-Mar-14,Sittings of Parliament,Canberra,$268.00,4,48http://www.finance.gov.au/sites/default/files/P34_JENSEN_Dennis.pdf5P34 JENSEN Dennis,"$1,072.00",,,-35.2819998,149.1286843,Tangney,WA,Liberal,Coalition,lower,no,
JONES Ewen,http://www.finance.gov.au/sites/default/files/P34_JONES_Ewen.pdf,23-Mar-14,26-Mar-14,Sittings of Parliament,Canberra,$268.00,4,48http://www.finance.gov.au/sites/default/files/P34_JONES_Ewen.pdf5P34 JONES Ewen,"$1,072.00",,,-35.2819998,149.1286843,Herbert,QLD,Liberal,Coalition,lower,no,
JONES Stephen,http://www.finance.gov.au/sites/default/files/P34_JONES_Stephen.pdf,23-Mar-14,26-Mar-14,Sittings of Parliament,Canberra,$268.00,4,55http://www.finance.gov.au/sites/default/files/P34_JONES_Stephen.pdf5P34 JONES Stephen,"$1,072.00",,,-35.2819998,149.1286843,Throsby,NSW,Labor,Labor,lower,no,
JOYCE Barnaby,http://www.finance.gov.au/sites/default/files/P34_JOYCE_Barnaby1.pdf,23-Mar-14,27-Mar-14,Sittings of Parliament,Canberra,$268.00,5,208http://www.finance.gov.au/sites/default/files/P34_JOYCE_Barnaby1.pdf5P34 JOYCE Barnaby1,"$1,390.00",$50.00,,-35.2819998,149.1286843,New England,NSW,National,Coalition,lower,no,
KEENAN Michael,http://www.finance.gov.au/sites/default/files/P34_KEENAN_Michael.pdf,23-Mar-14,23-Mar-14,Sittings of Parliament,Sydney,$432.00,1,97http://www.finance.gov.au/sites/default/files/P34_KEENAN_Michael.pdf5P34 KEENAN Michael,$432.00,,,-33.8674869,151.2069902,Stirling,WA,Liberal,Coalition,lower,no,
KROGER Helen,http://www.finance.gov.au/sites/default/files/P34_KROGER_Helen.pdf,23-Mar-14,27-Mar-14,Sittings of Parliament,Canberra,$268.00,5,76http://www.finance.gov.au/sites/default/files/P34_KROGER_Helen.pdf5P34 KROGER Helen,"$1,340.00",,,-35.2819998,149.1286843,,VIC,Liberal,Coalition,senate,,
LAUNDY Craig,http://www.finance.gov.au/sites/default/files/P34_LAUNDY_Craig.pdf,23-Mar-14,26-Mar-14,Sittings of Parliament,Canberra,$268.00,4,48http://www.finance.gov.au/sites/default/files/P34_LAUNDY_Craig.pdf5P34 LAUNDY Craig,"$1,072.00",,,-35.2819998,149.1286843,Reid,NSW,Liberal,Coalition,lower,no,
LINES Sue,http://www.finance.gov.au/sites/default/files/P34_LINES_Sue.pdf,23-Mar-14,27-Mar-14,Sittings of Parliament,Canberra,$268.00,5,69http://www.finance.gov.au/sites/default/files/P34_LINES_Sue.pdf5P34 LINES Sue,"$1,340.00",,,-35.2819998,149.1286843,,WA,Labor,Labor,senate,,
LUDWIG Joe,http://www.finance.gov.au/sites/default/files/P34_LUDWIG_Joe.pdf,23-Mar-14,27-Mar-14,Sittings of Parliament,Canberra,$268.00,5,69http://www.finance.gov.au/sites/default/files/P34_LUDWIG_Joe.pdf5P34 LUDWIG Joe,"$1,340.00",,,-35.2819998,149.1286843,,QLD,Labor,Labor,senate,,
MACFARLANE Ian,http://www.finance.gov.au/sites/default/files/P34_MACFARLANE_Ian.pdf,23-Mar-14,27-Mar-14,Sittings of Parliament,Canberra,$268.00,5,141http://www.finance.gov.au/sites/default/files/P34_MACFARLANE_Ian.pdf5P34 MACFARLANE Ian,"$1,340.00",,,-35.2819998,149.1286843,Groom,QLD,Liberal,Coalition,lower,no,
MACTIERNAN Alannah,http://www.finance.gov.au/sites/default/files/P34_MACTIERNAN_Alannah.pdf,23-Mar-14,25-Mar-14,Sittings of Parliament,Canberra,$268.00,3,41http://www.finance.gov.au/sites/default/files/P34_MACTIERNAN_Alannah.pdf5P34 MACTIERNAN Alannah,$804.00,,,-35.2819998,149.1286843,Perth,WA,Labor,Labor,lower,no,
MADIGAN John,http://www.finance.gov.au/sites/default/files/P34_MADIGAN_John.pdf,23-Mar-14,26-Mar-14,Sittings of Parliament,Canberra,$268.00,4,48http://www.finance.gov.au/sites/default/files/P34_MADIGAN_John.pdf5P34 MADIGAN John,"$1,072.00",,,-35.2819998,149.1286843,,VIC,Independent,Independent,senate,,
MARINO Nola,http://www.finance.gov.au/sites/default/files/P34_MARINO_Nola.pdf,23-Mar-14,26-Mar-14,Sittings of Parliament,Canberra,$268.00,4,41http://www.finance.gov.au/sites/default/files/P34_MARINO_Nola.pdf5P34 MARINO Nola,"$1,072.00",,,-35.2819998,149.1286843,Forrest,WA,Liberal,Coalition,lower,no,
MARKUS Louise,http://www.finance.gov.au/sites/default/files/P34_MARKUS_Louise.pdf,23-Mar-14,27-Mar-14,Sittings of Parliament,Canberra,$268.00,5,55http://www.finance.gov.au/sites/default/files/P34_MARKUS_Louise.pdf5P34 MARKUS Louise,"$1,340.00",,,-35.2819998,149.1286843,Macquarie,NSW,Liberal,Coalition,lower,no,
