location-to,date,partygroup,count
Melbourne,13/02/2014,Coalition,18
Melbourne,13/02/2014,Labor,19
Perth,13/02/2014,Labor,5
Perth,13/02/2014,Coalition,8
Sydney,13/02/2014,Labor,9
Sydney,13/02/2014,Coalition,14
Adelaide,14/02/2014,Greens,2
Adelaide,14/02/2014,Labor,5
Adelaide,14/02/2014,Coalition,6
Brisbane,14/02/2014,Labor,5
Brisbane,14/02/2014,Coalition,11
Devonport,14/02/2014,Coalition,3
Hobart,14/02/2014,Labor,5
Launceston,14/02/2014,Coalition,3
Melbourne,14/02/2014,Greens,4
Melbourne,14/02/2014,Labor,16
Melbourne,14/02/2014,Coalition,26
Perth,14/02/2014,Labor,3
Perth,14/02/2014,Coalition,10
Sydney,14/02/2014,Greens,2
Sydney,14/02/2014,Labor,8
Sydney,14/02/2014,Coalition,14
Townsville,14/02/2014,Coalition,2
Brisbane,15/02/2014,Coalition,4
Melbourne,15/02/2014,Coalition,2
Melbourne,15/02/2014,Greens,2
Melbourne,15/02/2014,Labor,2
Port Lincoln,15/02/2014,Coalition,2
Roma,15/02/2014,Coalition,2
Sydney,15/02/2014,Coalition,3
Adelaide,16/02/2014,Labor,2
Adelaide,16/02/2014,Coalition,3
Darwin,16/02/2014,Labor,3
Melbourne,16/02/2014,Coalition,4
Melbourne,16/02/2014,Labor,6
Perth,16/02/2014,Labor,2
Sydney,16/02/2014,Labor,2
Sydney,16/02/2014,Coalition,6
Adelaide,17/02/2014,Coalition,2
Brisbane,17/02/2014,Labor,2
Brisbane,17/02/2014,Coalition,4
Hobart,17/02/2014,Labor,2
Melbourne,17/02/2014,Labor,3
Melbourne,17/02/2014,Coalition,8
Perth,17/02/2014,Coalition,2
Sydney,17/02/2014,Coalition,8
Adelaide,18/02/2014,Coalition,4
Brisbane,18/02/2014,Coalition,3
Melbourne,18/02/2014,AUS,2
Melbourne,18/02/2014,Coalition,4
Melbourne,18/02/2014,Labor,4
Perth,18/02/2014,AUS,2
Perth,18/02/2014,Coalition,2
Perth,18/02/2014,Labor,3
Sydney,18/02/2014,Greens,2
Sydney,18/02/2014,Labor,4
Sydney,18/02/2014,Coalition,13
Brisbane,19/02/2014,Coalition,3
Melbourne,19/02/2014,Greens,2
Melbourne,19/02/2014,Coalition,4
Melbourne,19/02/2014,Labor,4
Sydney,19/02/2014,Labor,6
Sydney,19/02/2014,Coalition,9
Adelaide,20/02/2014,Labor,3
Brisbane,20/02/2014,Coalition,2
Melbourne,20/02/2014,Greens,2
Melbourne,20/02/2014,Labor,3
Melbourne,20/02/2014,Coalition,9
Perth,20/02/2014,Coalition,3
Sydney,20/02/2014,Coalition,9
Sydney,20/02/2014,Labor,9
Adelaide,21/02/2014,Coalition,2
Adelaide,21/02/2014,Labor,4
Armidale,21/02/2014,Coalition,2
Brisbane,21/02/2014,AUS,3
Brisbane,21/02/2014,Labor,3
Brisbane,21/02/2014,Coalition,7
Hobart,21/02/2014,Coalition,2
Melbourne,21/02/2014,Labor,3
Melbourne,21/02/2014,Coalition,6
Sydney,21/02/2014,Labor,3
Sydney,21/02/2014,Coalition,8
Alice Springs,22/02/2014,CLP,2
Sydney,22/02/2014,Coalition,4
Albury,23/02/2014,Coalition,2
Brisbane,23/02/2014,Labor,5
