datefrom,partygroup,location,count
02/11/2014,Coalition,Perth,3
20/03/2014,Coalition,Perth,3
28/01/2014,Coalition,Perth,3
28/01/2014,Labor,Perth,3
30/01/2014,Coalition,Perth,3
30/03/2014,Coalition,Perth,3
07/10/2014,Coalition,Perth,3
07/10/2014,Labor,Perth,3
09/04/2014,Coalition,Perth,3
10/11/2014,Labor,Perth,4
08/04/2014,Coalition,Perth,4
15/09/2014,Coalition,Perth,5
06/04/2014,Coalition,Perth,5
31/03/2014,Coalition,Perth,14
09/04/2014,Labor,Port Hedland,2
16/09/2014,Labor,Port Hedland,3
09/04/2014,Coalition,Port Hedland,5
11/08/2014,Coalition,Port Lincoln,2
30/06/2014,Coalition,Richmond,2
30/06/2014,Greens,Richmond,2
12/10/2014,Coalition,Rockhampton,2
05/11/2014,Labor,Rockhampton,2
20/05/2014,Coalition,Rockhampton,3
27/07/2014,Coalition,Rockhampton,4
11/08/2014,Coalition,Roma,2
19/02/2014,Coalition,Sale,2
07/09/2013,Coalition,Sale,2
11/11/2014,Coalition,St Helens,2
01/04/2014,Coalition,Sydney,2
01/07/2014,Labor,Sydney,2
01/05/2014,Coalition,Sydney,2
10/03/2014,Coalition,Sydney,2
10/11/2014,Coalition,Sydney,2
10/09/2014,Coalition,Sydney,2
11/12/2014,Labor,Sydney,2
12/11/2014,Labor,Sydney,2
12/10/2014,Coalition,Sydney,2
12/10/2014,Labor,Sydney,2
13/07/2014,Coalition,Sydney,2
13/06/2014,Labor,Sydney,2
13/03/2014,Coalition,Sydney,2
13/10/2014,Labor,Sydney,2
14/04/2014,Labor,Sydney,2
14/03/2014,Coalition,Sydney,2
14/10/2014,Labor,Sydney,2
15/04/2014,Labor,Sydney,2
15/08/2014,Coalition,Sydney,2
15/12/2014,Coalition,Sydney,2
15/03/2014,Coalition,Sydney,2
15/05/2014,Coalition,Sydney,2
15/10/2014,Coalition,Sydney,2
16/12/2013,Coalition,Sydney,2
16/03/2014,Coalition,Sydney,2
17/07/2014,Coalition,Sydney,2
18/11/2014,Coalition,Sydney,2
19/02/2014,Labor,Sydney,2
19/01/2014,Coalition,Sydney,2
19/06/2014,Coalition,Sydney,2
19/03/2014,Labor,Sydney,2
02/04/2014,Labor,Sydney,2
02/08/2014,Coalition,Sydney,2
02/05/2014,Coalition,Sydney,2
20/06/2014,Coalition,Sydney,2
20/03/2014,Coalition,Sydney,2
20/11/2014,Coalition,Sydney,2
21/08/2014,Labor,Sydney,2
21/05/2014,Coalition,Sydney,2
21/05/2014,Labor,Sydney,2
22/02/2014,Coalition,Sydney,2
22/05/2014,Labor,Sydney,2
23/07/2014,Coalition,Sydney,2
23/05/2014,Labor,Sydney,2
23/11/2014,Coalition,Sydney,2
24/07/2014,Coalition,Sydney,2
25/07/2014,Coalition,Sydney,2
25/10/2014,Coalition,Sydney,2
26/09/2014,Labor,Sydney,2
27/02/2014,Labor,Sydney,2
27/01/2014,Coalition,Sydney,2
27/03/2014,Labor,Sydney,2
27/11/2014,Coalition,Sydney,2
28/02/2014,Coalition,Sydney,2
28/07/2014,Greens,Sydney,2
28/07/2014,Labor,Sydney,2
28/05/2014,Coalition,Sydney,2
28/09/2014,Coalition,Sydney,2
28/09/2014,Labor,Sydney,2
29/04/2014,Coalition,Sydney,2
29/05/2014,Coalition,Sydney,2
03/04/2014,Coalition,Sydney,2
03/02/2014,Coalition,Sydney,2
03/07/2014,Coalition,Sydney,2
30/06/2014,Coalition,Sydney,2
30/10/2014,Coalition,Sydney,2
30/10/2014,Labor,Sydney,2
04/07/2014,Coalition,Sydney,2
04/11/2014,Coalition,Sydney,2
05/08/2014,Labor,Sydney,2
05/11/2014,Labor,Sydney,2
06/05/2014,Coalition,Sydney,2
06/11/2014,Coalition,Sydney,2
07/01/2014,Coalition,Sydney,2
07/07/2014,Coalition,Sydney,2
07/10/2014,Labor,Sydney,2
08/04/2014,Coalition,Sydney,2
08/08/2014,Coalition,Sydney,2
08/10/2014,Coalition,Sydney,2
08/09/2014,Labor,Sydney,2
09/04/2014,Coalition,Sydney,2
09/11/2014,Greens,Sydney,2
01/07/2014,Coalition,Sydney,3
10/11/2014,Labor,Sydney,3
10/10/2014,Labor,Sydney,3
11/08/2014,Coalition,Sydney,3
11/03/2014,Coalition,Sydney,3
11/11/2014,Coalition,Sydney,3
11/10/2014,Coalition,Sydney,3
11/09/2014,Coalition,Sydney,3
13/03/2014,Labor,Sydney,3
13/11/2014,Coalition,Sydney,3
13/11/2014,Labor,Sydney,3
14/10/2014,Coalition,Sydney,3
14/09/2014,Coalition,Sydney,3
15/12/2013,Coalition,Sydney,3
16/04/2014,Coalition,Sydney,3
16/11/2014,Labor,Sydney,3
16/09/2014,Coalition,Sydney,3
17/09/2014,Labor,Sydney,3
18/07/2014,Coalition,Sydney,3
18/07/2014,Greens,Sydney,3
19/08/2014,Labor,Sydney,3
19/02/2014,Coalition,Sydney,3
20/03/2014,Labor,Sydney,3
21/02/2014,Coalition,Sydney,3
22/07/2014,Coalition,Sydney,3
23/04/2014,Coalition,Sydney,3
23/10/2014,Coalition,Sydney,3
26/06/2014,Coalition,Sydney,3
26/06/2014,Labor,Sydney,3
27/07/2014,Coalition,Sydney,3
27/07/2014,Labor,Sydney,3
27/03/2014,Coalition,Sydney,3
28/08/2014,Greens,Sydney,3
03/04/2014,Labor,Sydney,3
30/04/2014,Labor,Sydney,3
31/03/2014,Coalition,Sydney,3
04/05/2014,Coalition,Sydney,3
05/12/2014,Coalition,Sydney,3
05/02/2014,Coalition,Sydney,3
05/02/2014,Labor,Sydney,3
06/08/2014,Coalition,Sydney,3
06/02/2014,Labor,Sydney,3
06/03/2014,Labor,Sydney,3
07/05/2014,Coalition,Sydney,3
07/09/2014,Coalition,Sydney,3
09/11/2014,Labor,Sydney,3
13/02/2014,Coalition,Sydney,4
17/08/2014,Coalition,Sydney,4
17/02/2014,Coalition,Sydney,4
02/04/2014,Coalition,Sydney,4
02/07/2014,Coalition,Sydney,4
23/10/2014,Labor,Sydney,4
25/09/2014,Coalition,Sydney,4
26/07/2014,Labor,Sydney,4
27/02/2014,Coalition,Sydney,4
29/07/2014,Coalition,Sydney,4
29/03/2014,Coalition,Sydney,4
03/11/2014,Coalition,Sydney,4
31/07/2014,Coalition,Sydney,4
04/05/2014,Labor,Sydney,4
04/09/2014,Coalition,Sydney,4
05/05/2014,Coalition,Sydney,4
05/11/2014,Coalition,Sydney,4
07/08/2014,Coalition,Sydney,4
09/12/2014,Coalition,Sydney,4
09/10/2014,Coalition,Sydney,4
01/05/2014,Labor,Sydney,5
11/06/2014,Coalition,Sydney,5
12/03/2014,Labor,Sydney,5
14/08/2014,Coalition,Sydney,5
20/08/2014,Coalition,Sydney,5
20/02/2014,Coalition,Sydney,5
20/02/2014,Labor,Sydney,5
20/05/2014,Coalition,Sydney,5
25/07/2014,Labor,Sydney,5
25/09/2014,Labor,Sydney,5
27/04/2014,Coalition,Sydney,5
28/08/2014,Coalition,Sydney,5
07/04/2014,Coalition,Sydney,5
08/09/2014,Coalition,Sydney,5
09/11/2014,Coalition,Sydney,5
10/09/2014,Labor,Sydney,6
11/06/2014,Labor,Sydney,6
12/11/2014,Coalition,Sydney,6
15/04/2014,Coalition,Sydney,6
